"","x"
"901","151.27"
"902","151.38"
"903","151.42"
"904","151.44"
"905","151.51"
"906","151.52"
"907","151.57"
"908","152"
"909","152.03"
"910","152.06"
"911","152.22"
"912","152.23"
"913","152.27"
"914","152.29"
"915","152.31"
"916","152.35"
"917","152.42"
"918","152.51"
"919","153"
"920","153.01"
"921","153.03"
"922","153.08"
"923","153.17"
"924","153.24"
"925","153.29"
"926","153.35"
"927","153.38"
"928","154.03"
"929","154.04"
"930","154.08"
"931","154.12"
"932","154.14"
"933","154.23"
"934","154.29"
"935","154.32"
"936","154.41"
"937","155.03"
"938","155.05"
"939","155.07"
"940","155.12"
"941","155.13"
"942","155.29"
"943","156.03"
"944","156.05"
"945","156.16"
"946","156.29"
"947","156.32"
"948","156.37"
"949","156.44"
"950","159.55"
"951","160.55"
"952","162.46"
"953","164.55"
"954","165.12"
"955","166.03"
"956","166.12"
"957","166.24"
"958","166.25"
"959","166.26"
"960","166.35"
"961","166.44"
"962","166.47"
"963","166.51"
"964","166.52"
"965","167.55"
"966","169.55"
"967","170.05"
"968","170.43"
"969","171.42"
"970","172.42"
"971","174.55"
"972","175.13"
"973","175.37"
"974","175.38"
"975","176.46"
"976","176.59"
"977","177.03"
"978","177.12"
"979","177.16"
"980","177.21"
"981","177.23"
"982","177.27"
"983","177.32"
"984","177.35"
"985","177.46"
"986","177.51"
"987","177.52"
"988","178.53"
"989","179.19"
"990","180.55"
"991","181.55"
"992","182.55"
"993","183.55"
"994","184.55"
"995","185.55"
"996","186.55"
"997","187.55"
"998","188.55"
"999","189.55"
"1000","190.55"
"1001","192.55"
"1002","193.55"
"1003","194.55"
"1004","197.03"
"1005","197.04"
"1006","197.22"
"1007","197.24"
"1008","197.29"
"1009","197.37"
"1010","197.38"
"1011","197.41"
"1012","197.44"
"1013","197.51"
"1014","197.52"
"1015","198"
"1016","198.12"
"1017","198.13"
"1018","198.28"
"1019","198.54"
"1020","199"
"1021","199.01"
"1022","199.03"
"1023","199.04"
"1024","199.12"
"1025","199.16"
"1026","199.18"
"1027","199.21"
"1028","199.24"
"1029","199.32"
"1030","199.37"
"1031","199.38"
"1032","199.51"
"1033","199.52"
"1034","200.12"
"1035","200.16"
"1036","200.19"
"1037","200.52"
"1038","200.56"
"1039","201.55"
"1040","202.01"
"1041","202.03"
"1042","202.13"
"1043","202.44"
"1044","203.55"
"1045","205.21"
"1046","205.24"
"1047","205.25"
"1048","205.52"
"1049","206.55"
"1050","207.31"
"1051","208.55"
"1052","209.55"
"1053","210"
"1054","210.03"
"1055","210.06"
"1056","210.16"
"1057","210.18"
"1058","210.23"
"1059","210.32"
"1060","210.38"
"1061","210.57"
"1062","211.55"
"1063","212.55"
"1064","213.03"
"1065","213.04"
"1066","213.32"
"1067","213.44"
"1068","213.57"
"1069","215.28"
"1070","216.55"
"1071","217.55"
"1072","218.27"
"1073","219.25"
"1074","220.55"
"1075","221.55"
"1076","222.55"
"1077","223.55"
"1078","224.01"
"1079","224.16"
"1080","224.18"
"1081","224.24"
"1082","224.25"
"1083","224.28"
"1084","224.31"
"1085","224.37"
"1086","224.38"
"1087","224.42"
"1088","224.44"
"1089","224.52"
"1090","224.54"
"1091","224.57"
"1092","225.24"
"1093","225.27"
"1094","225.56"
"1095","226.03"
"1096","226.21"
"1097","226.27"
"1098","226.38"
"1099","226.51"
"1100","226.52"
"1101","226.57"
"1102","227.55"
"1103","228"
"1104","228.03"
"1105","228.13"
"1106","228.16"
"1107","228.23"
"1108","228.29"
"1109","228.32"
"1110","228.38"
"1111","228.57"
"1112","229.55"
"1113","230.01"
"1114","230.12"
"1115","230.18"
"1116","230.27"
"1117","230.29"
"1118","230.35"
"1119","230.51"
"1120","230.57"
"1121","231.55"
"1122","232.27"
"1123","233.27"
"1124","234.22"
"1125","234.24"
"1126","234.25"
"1127","235.27"
"1128","236.19"
"1129","238.25"
"1130","238.31"
"1131","239.55"
"1132","240.55"
"1133","241.55"
"1134","242.55"
"1135","243.03"
"1136","243.12"
"1137","244.03"
"1138","244.07"
"1139","244.16"
"1140","245.55"
"1141","246.03"
"1142","246.06"
"1143","246.21"
"1144","246.24"
"1145","246.26"
"1146","246.28"
"1147","246.32"
"1148","246.44"
"1149","247.19"
"1150","248.22"
"1151","248.24"
"1152","248.25"
"1153","248.28"
"1154","248.31"
"1155","248.52"
"1156","250.55"
"1157","252.46"
"1158","253.07"
"1159","253.16"
"1160","253.24"
"1161","253.37"
"1162","253.52"
"1163","255.55"
"1164","257.02"
"1165","257.03"
"1166","257.06"
"1167","257.16"
"1168","257.21"
"1169","257.24"
"1170","257.37"
"1171","257.38"
"1172","258.02"
"1173","258.03"
"1174","258.13"
"1175","258.16"
"1176","258.29"
"1177","258.38"
"1178","258.43"
"1179","259.01"
"1180","259.08"
"1181","259.12"
"1182","259.15"
"1183","259.16"
"1184","259.18"
"1185","259.29"
"1186","259.44"
"1187","261.55"
"1188","263.21"
"1189","263.25"
"1190","263.52"
"1191","264.06"
"1192","264.45"
"1193","265.24"
"1194","265.25"
"1195","265.27"
"1196","265.37"
"1197","265.51"
"1198","267.01"
"1199","267.03"
"1200","267.08"
"1201","267.18"
"1202","267.21"
"1203","267.23"
"1204","267.31"
"1205","267.37"
"1206","267.38"
"1207","268.55"
"1208","269.21"
"1209","269.42"
"1210","269.46"
"1211","269.51"
"1212","270.31"
"1213","271.55"
"1214","272.12"
"1215","272.22"
"1216","272.45"
"1217","272.59"
"1218","273.12"
"1219","273.21"
"1220","274.55"
"1221","275.55"
"1222","276.12"
"1223","276.24"
"1224","276.29"
"1225","276.51"
"1226","277.08"
"1227","277.16"
"1228","277.21"
"1229","277.23"
"1230","277.31"
"1231","277.44"
"1232","277.56"
"1233","278.27"
"1234","279.55"
"1235","280.27"
"1236","281.12"
"1237","281.22"
"1238","282"
"1239","282.01"
"1240","282.03"
"1241","282.16"
"1242","282.26"
"1243","282.29"
"1244","282.35"
"1245","282.37"
"1246","282.38"
"1247","282.42"
"1248","282.52"
"1249","282.56"
"1250","282.57"
"1251","283.27"
"1252","283.31"
"1253","284.42"
"1254","285.12"
"1255","286.55"
"1256","287.55"
"1257","288.55"
"1258","289.55"
"1259","290.27"
"1260","292.21"
"1261","292.42"
"1262","292.52"
"1263","292.54"
"1264","292.56"
"1265","293.07"
"1266","293.21"
"1267","293.24"
"1268","293.38"
"1269","293.41"
"1270","293.44"
"1271","293.52"
"1272","293.57"
"1273","294.03"
"1274","294.06"
"1275","294.56"
"1276","294.57"
"1277","295.06"
"1278","295.22"
"1279","295.24"
"1280","295.28"
"1281","297.22"
"1282","297.31"
"1283","297.52"
"1284","297.56"
"1285","298.27"
"1286","298.37"
"1287","298.52"
"1288","298.56"
"1289","300.55"
"1290","303.13"
"1291","304.55"
"1292","305.55"
"1293","306.03"
"1294","306.18"
"1295","306.35"
"1296","306.52"
"1297","307.55"
"1298","308"
"1299","308.01"
"1300","308.03"
"1301","308.12"
"1302","308.29"
"1303","308.37"
"1304","308.47"
"1305","308.57"
"1306","310.27"
"1307","311.27"
"1308","312.27"
"1309","313.26"
"1310","313.27"
"1311","313.51"
"1312","314.22"
"1313","314.24"
"1314","315.25"
"1315","316.03"
"1316","316.23"
"1317","316.25"
"1318","316.54"
"1319","317.02"
"1320","317.06"
"1321","317.12"
"1322","317.22"
"1323","317.25"
"1324","317.31"
"1325","317.32"
"1326","317.51"
"1327","317.57"
"1328","318.12"
"1329","319.12"
"1330","320.03"
"1331","320.06"
"1332","320.12"
"1333","320.23"
"1334","320.27"
"1335","320.35"
"1336","321.01"
"1337","321.06"
"1338","321.21"
"1339","321.22"
"1340","321.25"
"1341","321.31"
"1342","321.35"
"1343","321.52"
"1344","322.21"
"1345","322.27"
"1346","323.55"
"1347","324.28"
"1348","324.52"
"1349","325.03"
"1350","325.06"
"1351","325.13"
"1352","325.15"
"1353","325.19"
"1354","325.29"
"1355","325.35"
"1356","325.49"
"1357","326.27"
"1358","327.55"
"1359","328.27"
"1360","329.23"
"1361","329.24"
"1362","329.27"
"1363","329.42"
"1364","329.52"
"1365","331.12"
"1366","332.55"
"1367","333.12"
"1368","333.27"
"1369","335.12"
"1370","335.22"
"1371","337.55"
"1372","338.55"
"1373","340.55"
"1374","342.55"
"1375","348.55"
"1376","349.55"
"1377","350.55"
"1378","351"
"1379","351.03"
"1380","351.04"
"1381","351.21"
"1382","351.24"
"1383","351.25"
"1384","351.28"
"1385","351.52"
"1386","352.55"
"1387","353.12"
"1388","353.22"
"1389","353.24"
"1390","354.08"
"1391","354.21"
"1392","354.27"
"1393","354.28"
"1394","354.31"
"1395","354.42"
"1396","354.51"
"1397","354.56"
"1398","354.57"
"1399","355.55"
"1400","357.03"
"1401","357.06"
"1402","357.16"
"1403","357.22"
"1404","357.23"
"1405","357.24"
"1406","357.29"
"1407","357.38"
"1408","357.44"
"1409","357.52"
"1410","357.56"
"1411","358.55"
"1412","359.55"
"1413","360.55"
"1414","361.55"
"1415","362.55"
"1416","363.46"
"1417","364.55"
"1418","365.27"
"1419","366.08"
"1420","366.26"
"1421","366.28"
"1422","366.31"
"1423","366.38"
"1424","366.42"
"1425","367.46"
"1426","368.46"
"1427","369.27"
"1428","370.27"
"1429","371.01"
"1430","371.12"
"1431","371.18"
"1432","371.28"
"1433","371.29"
"1434","371.37"
"1435","371.54"
"1436","371.57"
"1437","372.03"
"1438","372.16"
"1439","372.21"
"1440","372.23"
"1441","372.24"
"1442","372.25"
"1443","372.28"
"1444","372.31"
"1445","372.37"
"1446","372.42"
"1447","372.44"
"1448","373.01"
"1449","373.03"
"1450","373.08"
"1451","373.22"
"1452","373.24"
"1453","373.38"
"1454","373.44"
"1455","373.52"
"1456","374.55"
"1457","375.06"
"1458","375.12"
"1459","375.16"
"1460","375.18"
"1461","375.21"
"1462","375.44"
"1463","376.46"
"1464","377.12"
"1465","378.12"
"1466","378.21"
"1467","378.29"
"1468","378.38"
"1469","379.55"
"1470","380.46"
"1471","382.27"
"1472","383.55"
"1473","384.01"
"1474","384.03"
"1475","384.08"
"1476","384.18"
"1477","384.23"
"1478","384.24"
"1479","384.26"
"1480","384.35"
"1481","384.57"
"1482","385.01"
"1483","385.03"
"1484","385.04"
"1485","385.06"
"1486","385.18"
"1487","385.26"
"1488","385.38"
"1489","385.52"
"1490","386.31"
"1491","387.13"
"1492","387.22"
"1493","387.24"
"1494","387.27"
"1495","387.28"
"1496","387.37"
"1497","388.03"
"1498","388.08"
"1499","388.16"
"1500","388.23"
"1501","388.27"
"1502","388.32"
"1503","388.38"
"1504","388.51"
"1505","389.06"
"1506","389.12"
"1507","389.13"
"1508","389.15"
"1509","389.16"
"1510","389.21"
"1511","389.23"
"1512","389.24"
"1513","389.54"
"1514","391.12"
"1515","391.27"
"1516","392.21"
"1517","392.25"
"1518","392.26"
"1519","392.35"
"1520","393.22"
"1521","396.55"
"1522","397.12"
"1523","398.12"
"1524","399.12"
"1525","400.55"
"1526","401.27"
"1527","404.55"
"1528","405.22"
"1529","405.28"
"1530","406.12"
"1531","406.56"
"1532","407"
"1533","407.03"
"1534","407.23"
"1535","407.26"
"1536","407.38"
"1537","407.44"
"1538","407.52"
"1539","408.01"
"1540","408.03"
"1541","408.06"
"1542","408.19"
"1543","408.24"
"1544","408.29"
"1545","408.32"
"1546","408.35"
"1547","408.52"
"1548","409.25"
"1549","409.42"
"1550","410.03"
"1551","410.16"
"1552","410.19"
"1553","410.23"
"1554","410.32"
"1555","410.35"
"1556","411.27"
"1557","412.55"
"1558","413.03"
"1559","413.05"
"1560","413.06"
"1561","413.12"
"1562","413.16"
"1563","413.18"
"1564","413.38"
"1565","413.43"
"1566","413.51"
"1567","414.21"
"1568","414.25"
"1569","414.52"
"1570","414.54"
"1571","414.56"
"1572","415.55"
"1573","416.55"
"1574","417.27"
"1575","418.27"
"1576","419.12"
"1577","420.55"
"1578","421"
"1579","421.03"
"1580","421.04"
"1581","421.23"
"1582","421.24"
"1583","421.32"
"1584","421.37"
"1585","421.44"
"1586","421.51"
"1587","421.56"
"1588","422.55"
"1589","423.23"
"1590","423.31"
"1591","423.54"
"1592","424.12"
"1593","424.22"
"1594","424.25"
"1595","424.38"
"1596","424.56"
"1597","425.27"
"1598","426.27"
"1599","427.27"
"1600","429.27"
"1601","431.27"
"1602","432.12"
"1603","432.46"
"1604","433.12"
"1605","434.55"
"1606","435.08"
"1607","435.13"
"1608","435.22"
"1609","435.51"
"1610","436.31"
"1611","437.55"
"1612","438"
"1613","438.02"
"1614","438.03"
"1615","438.12"
"1616","438.22"
"1617","438.25"
"1618","438.27"
"1619","438.42"
"1620","438.51"
"1621","438.52"
"1622","438.56"
"1623","439.01"
"1624","439.06"
"1625","439.16"
"1626","439.26"
"1627","439.28"
"1628","439.38"
"1629","439.54"
"1630","439.57"
"1631","440.22"
"1632","441.27"
"1633","442.12"
"1634","443.22"
"1635","444.19"
"1636","445.25"
"1637","446.55"
"1638","447.55"
"1639","448.01"
"1640","448.03"
"1641","448.24"
"1642","448.26"
"1643","448.35"
"1644","448.51"
"1645","449.27"
"1646","450.22"
"1647","451.01"
"1648","451.21"
"1649","451.22"
"1650","451.28"
"1651","451.44"
"1652","452.55"
"1653","453.12"
"1654","453.23"
"1655","453.25"
